Wavelength,Flux
0.3900135400,210.000000000
0.3900422700,14.000000000
0.3900778900,28.000000000
0.3901141800,160.000000000
0.3901237000,150.000000000
0.3901569000,100.000000000
0.3901681600,1200.000000000
0.3901730100,8.000000000
0.3901983410,2100.000000000
0.3902257200,250.000000000
0.3902767230,860.000000000
0.3903062500,50.000000000
0.3903222800,93.000000000
0.3903276100,260.000000000
0.3903579500,110.000000000
0.3903836600,41.000000000
0.3903894100,110.000000000
0.3904207900,3000.000000000
0.3904420700,490.000000000
0.3904586900,290.000000000
0.3904869900,27.000000000
0.3905188580,720.000000000
0.3905306000,140.000000000
0.3906292570,720.000000000
0.3906462400,180.000000000
0.3906912800,32.000000000
0.3907139500,41.000000000
0.3907934700,41.000000000
0.3908266800,210.000000000
0.3908442900,140.000000000
0.3908458900,4.000000000
0.3908649800,230.000000000
0.3908950000,7.000000000
0.3909014200,74.000000000
0.3909121100,180.000000000
0.3909595200,41.000000000
0.3909856100,400.000000000
0.3910086700,360.000000000
0.3910246200,600.000000000
0.3911098600,240.000000000
0.3911358600,120.000000000
0.3911628500,130.000000000
0.3911729600,120.000000000
0.3911881000,280.000000000
0.3912085200,260.000000000
0.3912471900,36.000000000
0.3912629400,76.000000000
0.3912683800,6.000000000
0.3913016790,2100.000000000
0.3913059510,890.000000000
0.3913318300,79.000000000
0.3913388900,450.000000000
0.3913598800,86.000000000
0.3913846200,180.000000000
0.3914113400,430.000000000
0.3914190000,500.000000000
0.3914303400,13.000000000
0.3914410300,180.000000000
0.3914753200,210.000000000
0.3914932200,370.000000000
0.3914973400,170.000000000
0.3915271700,490.000000000
0.3915399300,87.000000000
0.3915578900,81.000000000
0.3915642400,280.000000000
0.3915876100,25.000000000
0.3916280800,12.000000000
0.3916404100,200.000000000
0.3916957700,260.000000000
0.3917526460,4200.000000000
0.3917707000,170.000000000
0.3917833300,360.000000000
0.3917905600,360.000000000
0.3918378500,1100.000000000
0.3918876400,5.000000000
0.3919118200,150.000000000
0.3919179510,660.000000000
0.3919394600,140.000000000
0.3919606800,660.000000000
0.3920043130,770.000000000
0.3920133080,4600.000000000
0.3920385100,260.000000000
0.3920436600,82.000000000
0.3921167500,230.000000000
0.3921280100,13.000000000
0.3921422600,290.000000000
0.3921630300,68.000000000
0.3921660100,120.000000000
0.3922063800,50.000000000
0.3922563600,160.000000000
0.3922841600,33.000000000
0.3922890300,99.000000000
0.3923208600,110.000000000
0.3923329700,160.000000000
0.3923470000,2.000000000
0.3923504700,100.000000000
0.3924621100,220.000000000
0.3924667000,1.000000000
0.3924910450,2500.000000000
0.3925515200,11000.000000000
0.3925739300,40.000000000
0.3926098400,270.000000000
0.3926204630,6800.000000000
0.3926330370,1400.000000000
0.3926707050,660.000000000
0.3926830180,129.000000000
0.3927156800,13.000000000
0.3927818100,100.000000000
0.3927974600,180.000000000
0.3928288000,370.000000000
0.3928533500,490.000000000
0.3928918200,320.000000000
0.3929351300,13.000000000
0.3929418400,88.000000000
0.3929735040,191.000000000
0.3929811300,76.000000000
0.3929976800,540.000000000
0.3930054000,80.000000000
0.3930079000,190.000000000
0.3930304500,26.000000000
0.3930402720,770.000000000
0.3930758400,520.000000000
0.3930781700,9100.000000000
0.3930957300,610.000000000
0.3931363300,95.000000000
0.3931770400,66.000000000
0.3932197900,79.000000000
0.3932348300,17.000000000
0.3932369500,340.000000000
0.3932620500,37.000000000
0.3933115300,200.000000000
0.3933339500,420.000000000
0.3933659660,91.000000000
0.3934024480,9200.000000000
0.3934148700,230.000000000
0.3934350800,480.000000000
0.3934466900,120.000000000
0.3934684700,26.000000000
0.3935173700,69.000000000
0.3935288800,66.000000000
0.3935578900,33.000000000
0.3936354100,26.000000000
0.3936389000,1.000000000
0.3936744900,200.000000000
0.3937052800,170.000000000
0.3937239300,13.000000000
0.3937410300,53.000000000
0.3937718500,980.000000000
0.3937952500,13.000000000
0.3938154900,590.000000000
0.3938402900,71.000000000
0.3938480600,46.000000000
0.3938974700,79.000000000
0.3939038300,560.000000000
0.3939210100,100.000000000
0.3939267000,200.000000000
0.3939537400,120.000000000
0.3939694900,65.000000000
0.3939729140,720.000000000
0.3939841300,170.000000000
0.3939895700,320.000000000
0.3939958000,1.000000000
0.3940071000,170.000000000
0.3940433700,150.000000000
0.3940653300,91.000000000
0.3940908300,200.000000000
0.3941483800,90.000000000
0.3941537400,11.000000000
0.3941822300,120.000000000
0.3941954100,180.000000000
0.3942252800,74.000000000
0.3942347900,76.000000000
0.3942478200,77.000000000
0.3942797700,22.000000000
0.3942842100,61.000000000
0.3943077900,21.000000000
0.3943154800,83.000000000
0.3943188900,630.000000000
0.3943473800,190.000000000
0.3943744100,220.000000000
0.3943758800,210.000000000
0.3943785300,91.000000000
0.3943816100,65.000000000
0.3943969600,80.000000000
0.3944024000,340.000000000
0.3944375200,230.000000000
0.3944510220,860.000000000
0.3944575900,400.000000000
0.3944721550,650.000000000
0.3944806400,450.000000000
0.3945369680,660.000000000
0.3945387600,49.000000000
0.3946323900,120.000000000
0.3946623740,1100.000000000
0.3946936760,660.000000000
0.3947213800,204.000000000
0.3947262210,1700.000000000
0.3947508910,1900.000000000
0.3947713000,25.000000000
0.3948447860,2000.000000000
0.3948622000,7.000000000
0.3949147690,15000.000000000
0.3949251740,1100.000000000
0.3950081420,1000.000000000
0.3950097000,35.000000000
0.3950323700,52.000000000
0.3951205900,13.000000000
0.3951513070,42000.000000000
0.3951825200,210.000000000
0.3951922900,520.000000000
0.3952226400,160.000000000
0.3952632990,1000.000000000
0.3953539500,53.000000000
0.3953566700,39.000000000
0.3953846600,16.000000000
0.3953879300,2100.000000000
0.3954019700,26.000000000
0.3954085800,160.000000000
0.3954174700,8.000000000
0.3955018900,26.000000000
0.3955089100,26.000000000
0.3955186800,150.000000000
0.3955249700,110.000000000
0.3955583100,130.000000000
0.3955710100,13.000000000
0.3956220300,65.000000000
0.3956288960,1200.000000000
0.3956373100,86.000000000
0.3956596300,31.000000000
0.3957009540,880.000000000
0.3957124200,390.000000000
0.3957224000,74.000000000
0.3957602100,270.000000000
0.3957713030,1000.000000000
0.3957810280,2100.000000000
0.3958175000,120.000000000
0.3958178900,220.000000000
0.3958276900,190.000000000
0.3958599900,26.000000000
0.3958748900,74.000000000
0.3958855900,84.000000000
0.3958918200,46.000000000
0.3959134000,13.000000000
0.3959499100,7.000000000
0.3960048900,120.000000000
0.3960145800,72.000000000
0.3960341900,120.000000000
0.3960420160,2900.000000000
0.3961139600,100.000000000
0.3961389700,400.000000000
0.3961453100,160.000000000
0.3961480600,52.000000000
0.3961607900,5.000000000
0.3961805800,21.000000000
0.3962075800,26.000000000
0.3962425000,110.000000000
0.3962623900,26.000000000
0.3963087000,52.000000000
0.3963219800,99.000000000
0.3963318600,230.000000000
0.3963455900,170.000000000
0.3963492100,160.000000000
0.3963540550,1100.000000000
0.3963596300,220.000000000
0.3964042300,39.000000000
0.3964341100,190.000000000
0.3964590000,230.000000000
0.3965151700,390.000000000
0.3965450800,170.000000000
0.3965576700,160.000000000
0.3965859900,2600.000000000
0.3965986800,130.000000000
0.3966604900,73.000000000
0.3967175000,34.000000000
0.3967353200,200.000000000
0.3967455900,130.000000000
0.3967829300,39.000000000
0.3968334400,660.000000000
0.3968514490,6300.000000000
0.3968682700,88.000000000
0.3968732600,450.000000000
0.3969481600,59.000000000
0.3969598530,9400.000000000
0.3969606700,1300.000000000
0.3970125380,1200.000000000
0.3970414000,76.000000000
0.3970458900,89.000000000
0.3970652300,150.000000000
0.3970684100,1000.000000000
0.3970786900,550.000000000
0.3970949200,40.000000000
0.3970977100,66.000000000
0.3972260100,130.000000000
0.3972310700,23.000000000
0.3973048500,68.000000000
0.3973353700,170.000000000
0.3973763210,1600.000000000
0.3974187000,89.000000000
0.3974319710,2900.000000000
0.3974456400,670.000000000
0.3974636300,54.000000000
0.3974815600,180.000000000
0.3975117200,12.000000000
0.3975348800,150.000000000
0.3975521800,140.000000000
0.3975600700,50.000000000
0.3975882600,15.000000000
0.3975953400,460.000000000
0.3975997400,12.000000000
0.3976132500,11.000000000
0.3976346100,120.000000000
0.3976591800,150.000000000
0.3976955700,160.000000000
0.3977047200,70.000000000
0.3977100800,45.000000000
0.3977276800,110.000000000
0.3977539500,660.000000000
0.3977649700,58.000000000
0.3978559100,34.000000000
0.3978920200,38.000000000
0.3979563300,120.000000000
0.3980163500,2600.000000000
0.3980168600,150.000000000
0.3980480980,87.000000000
0.3980527600,170.000000000
0.3981081900,390.000000000
0.3981215230,1700.000000000
0.3981268800,63.000000000
0.3981700900,33.000000000
0.3981880800,590.000000000
0.3982232340,910.000000000
0.3982660100,130.000000000
0.3983228200,340.000000000
0.3983354800,66.000000000
0.3983733400,110.000000000
0.3984021900,240.000000000
0.3984136600,82.000000000
0.3984909800,22.000000000
0.3984941700,4.000000000
0.3985222100,210.000000000
0.3985502500,100.000000000
0.3985747000,130.000000000
0.3986006400,500.000000000
0.3986192200,25.000000000
0.3986468000,95.000000000
0.3986538600,170.000000000
0.3986591200,190.000000000
0.3986864200,9.000000000
