Order,Start Wavelength,Step Wavelength,Min Pixel,Max Pixel,Coeffs
0,8644.6,0.034,71,4077,[-4.80625691e-07  3.44999054e-02  8.64528220e+03]
1,8514.6,0.032,137,3973,[-4.84628959e-07  3.40163983e-02  8.51427999e+03]
2,8388.6,0.032,513,3977,[-4.55613941e-07  3.34018843e-02  8.38731113e+03]
3,8263.6,0.032,90,3433,[-4.82602268e-07  3.30475481e-02  8.26385699e+03]
4,8143.6,0.032,40,3997,[-4.61173970e-07  3.25249434e-02  8.14411302e+03]
5,8046.6,0.025,1175,3882,[-4.23152398e-07  3.18920984e-02  8.02796270e+03]
6,7930.6,0.025,806,3663,[-4.37463369e-07  3.15361408e-02  7.91477619e+03]
7,7811.6,0.025,489,3287,[-5.40308535e-07  3.14843893e-02  7.80470778e+03]
8,7705.6,0.025,474,3515,[-4.30655598e-07  3.06931362e-02  7.69792191e+03]
9,7600.6,0.025,533,3236,[-4.28839187e-07  3.02838065e-02  7.59390798e+03]
10,7501.6,0.025,448,3806,[-4.07688133e-07  2.98182742e-02  7.49270568e+03]
11,7405.6,0.025,911,4020,[-3.92191067e-07  2.93721549e-02  7.39418192e+03]
12,7307.1,0.025,1003,3860,[-3.96282135e-07  2.90284566e-02  7.29812741e+03]
13,7212.1,0.025,357,3784,[-3.93951207e-07  2.86830271e-02  7.20451086e+03]
14,7118.8,0.025,470,3775,[-4.03869136e-07  2.83727039e-02  7.11329768e+03]
15,7029.1,0.025,498,3856,[-3.90897813e-07  2.79894480e-02  7.02439914e+03]
16,6941.4,0.025,286,3135,[-4.01444065e-07  2.76887903e-02  6.93764198e+03]
17,6856.5,0.025,639,3564,[-3.87207756e-07  2.73212331e-02  6.85306321e+03]
18,6773,0.025,361,2550,[2.58725477e-02 6.77103462e+03]
19,6691.5,0.025,882,3648,[-3.49573694e-07  2.65602268e-02  6.68998956e+03]
20,6612.5,0.025,1139,2931,[2.48057482e-02 6.61264510e+03]
21,6535,0.025,840,2674,[2.47440790e-02 6.53532062e+03]
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
